work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_type
2024,Mid-level,Full-time,Data Engineer,43400,IN,50,IN,Large,Hybrid
2024,Mid-level,Full-time,Machine Learning Engineer,171900,AU,0,AU,Medium,Onsite
2023,Senior,Freelance,Analytics Engineer,173200,US,0,US,Medium,Onsite
2022,Entry-level,Full-time,Machine Learning Engineer,125800,US,100,US,Medium,Remote
2022,Mid-level,Full-time,Data Analyst,123800,GB,100,US,Medium,Remote
2023,Entry-level,Full-time,Data Architect,131500,US,0,US,Large,Onsite
2023,Mid-level,Full-time,Data Analyst,121600,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Analyst,157800,US,100,US,Medium,Remote
2020,Mid-level,Full-time,Data Engineer,119700,US,0,US,Medium,Onsite
2023,Senior,Full-time,Business Intelligence Analyst,146100,GB,50,GB,Large,Hybrid
2023,Mid-level,Full-time,Research Scientist,127900,FR,0,FR,Large,Onsite
2023,Executive,Full-time,Data Architect,115300,IN,100,IN,Small,Remote
2023,Mid-level,Full-time,Data Analyst,110100,US,0,US,Medium,Onsite
2024,Senior,Full-time,Data Analyst,122800,DE,0,DE,Medium,Onsite
2024,Executive,Full-time,Data Scientist,302600,US,50,US,Medium,Hybrid
2023,Senior,Full-time,Data Science Manager,140100,JP,100,JP,Medium,Remote
2021,Mid-level,Full-time,Data Engineer,154200,US,100,US,Medium,Remote
2024,Entry-level,Full-time,Analytics Engineer,84400,US,100,US,Medium,Remote
2021,Mid-level,Full-time,Data Scientist,159000,US,100,US,Medium,Remote
2023,Mid-level,Full-time,Data Scientist,154000,US,0,US,Medium,Onsite
2022,Entry-level,Full-time,Data Scientist,102200,US,50,US,Medium,Hybrid
2023,Senior,Full-time,Data Engineer,194000,AU,0,AU,Medium,Onsite
2021,Mid-level,Full-time,Data Architect,161400,US,100,US,Medium,Remote
2023,Senior,Full-time,Data Analyst,95900,SG,0,SG,Small,Onsite
2024,Mid-level,Full-time,AI Engineer,246400,US,100,US,Medium,Remote
2021,Senior,Full-time,Data Engineer,228100,US,100,US,Large,Remote
2023,Executive,Full-time,AI Engineer,280400,NL,50,NL,Medium,Hybrid
2021,Senior,Full-time,Data Analyst,170300,US,100,US,Large,Remote
2022,Senior,Full-time,Analytics Engineer,161000,US,100,US,Small,Remote
2020,Senior,Full-time,Business Intelligence Analyst,110200,DE,0,US,Medium,Onsite
2023,Mid-level,Full-time,Data Engineer,119900,US,100,CA,Medium,Remote
2024,Mid-level,Full-time,Data Architect,106100,FR,0,FR,Medium,Onsite
2023,Mid-level,Full-time,Data Engineer,132000,US,0,US,Large,Onsite
2024,Entry-level,Full-time,Data Scientist,103400,US,50,US,Medium,Hybrid
2022,Mid-level,Full-time,Data Engineer,142400,CA,100,CA,Medium,Remote
2022,Senior,Full-time,Data Engineer,182000,US,100,US,Small,Remote
2023,Mid-level,Full-time,Data Scientist,66200,IN,50,IN,Medium,Hybrid
2022,Mid-level,Full-time,Research Scientist,167800,US,50,US,Small,Hybrid
2021,Entry-level,Full-time,Machine Learning Engineer,110900,US,100,US,Large,Remote
2021,Senior,Full-time,Data Engineer,212700,US,100,US,Large,Remote
2024,Senior,Full-time,Data Analyst,124400,US,50,US,Large,Hybrid
2022,Senior,Full-time,Data Analyst,156800,US,100,US,Large,Remote
2021,Senior,Full-time,Data Analyst,73200,DE,0,DE,Medium,Onsite
2020,Entry-level,Full-time,Data Analyst,65300,US,100,US,Medium,Remote
2020,Senior,Full-time,Machine Learning Engineer,215700,US,0,US,Medium,Onsite
2023,Senior,Freelance,Machine Learning Engineer,273500,US,0,US,Large,Onsite
2023,Senior,Full-time,Machine Learning Engineer,112900,US,0,DE,Medium,Onsite
2023,Mid-level,Full-time,Machine Learning Engineer,129800,CA,0,CA,Small,Onsite
2020,Entry-level,Full-time,Data Analyst,20900,IN,0,IN,Large,Onsite
2020,Entry-level,Full-time,Data Scientist,122200,CA,100,CA,Medium,Remote
2022,Senior,Full-time,Data Science Manager,238900,AU,50,AU,Medium,Hybrid
2022,Executive,Full-time,Machine Learning Engineer,167200,JP,100,JP,Medium,Remote
2024,Senior,Full-time,Data Science Manager,285500,US,50,US,Large,Hybrid
2023,Senior,Full-time,Data Analyst,161400,CH,0,CH,Medium,Onsite
2023,Mid-level,Full-time,Data Scientist,189600,US,100,US,Small,Remote
2024,Mid-level,Full-time,Machine Learning Engineer,184400,US,0,US,Medium,Onsite
2024,Entry-level,Full-time,Data Engineer,92900,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Analyst,168100,US,100,US,Large,Remote
2021,Mid-level,Full-time,Research Scientist,104600,ES,0,ES,Medium,Onsite
2024,Senior,Full-time,Data Analyst,133100,US,100,US,Small,Remote
2022,Executive,Full-time,AI Engineer,249300,GB,0,GB,Large,Onsite
2023,Mid-level,Full-time,Analytics Engineer,161600,US,100,US,Medium,Remote
2024,Mid-level,Full-time,Business Intelligence Analyst,86600,BR,0,SG,Large,Onsite
2023,Entry-level,Full-time,Data Engineer,96100,US,0,US,Medium,Onsite
2024,Entry-level,Full-time,Analytics Engineer,82600,DE,100,DE,Medium,Remote
2023,Mid-level,Full-time,Data Scientist,169000,US,0,US,Medium,Onsite
2023,Mid-level,Full-time,Data Analyst,115800,IN,100,US,Medium,Remote
2022,Entry-level,Full-time,AI Engineer,93300,PL,100,US,Medium,Remote
2024,Senior,Full-time,Research Scientist,277700,US,0,US,Medium,Onsite
2021,Mid-level,Full-time,Data Analyst,110500,US,100,US,Medium,Remote
2023,Executive,Full-time,Machine Learning Engineer,119900,IN,0,IN,Medium,Onsite
2021,Executive,Full-time,Data Scientist,275000,US,0,AU,Large,Onsite
2024,Mid-level,Full-time,Data Architect,173800,US,50,US,Medium,Hybrid
2024,Mid-level,Full-time,Business Intelligence Analyst,109700,US,50,US,Medium,Hybrid
2022,Senior,Full-time,Data Scientist,117100,PT,100,PT,Large,Remote
2023,Mid-level,Full-time,Data Scientist,71100,PL,0,PL,Large,Onsite
2020,Senior,Full-time,Research Scientist,214600,US,100,US,Medium,Remote
2022,Mid-level,Full-time,Business Intelligence Analyst,136800,US,100,US,Large,Remote
2023,Entry-level,Full-time,Data Scientist,78800,US,100,US,Small,Remote
2021,Senior,Full-time,Data Architect,168900,BR,0,US,Medium,Onsite
2020,Mid-level,Full-time,Analytics Engineer,158800,US,0,US,Large,Onsite
2024,Mid-level,Full-time,Data Engineer,187900,US,0,US,Large,Onsite
2020,Senior,Full-time,Data Analyst,143800,US,100,US,Large,Remote
2024,Senior,Full-time,AI Engineer,228200,US,100,US,Large,Remote
2024,Mid-level,Full-time,Analytics Engineer,142800,GB,0,US,Medium,Onsite
2023,Senior,Full-time,Data Engineer,227500,US,0,US,Medium,Onsite
2023,Senior,Full-time,Machine Learning Engineer,279600,DE,0,US,Large,Onsite
2024,Mid-level,Full-time,Data Analyst,125800,US,0,US,Large,Onsite
2020,Executive,Full-time,Machine Learning Engineer,317400,US,0,US,Medium,Onsite
2022,Executive,Full-time,Data Scientist,311400,DE,0,US,Large,Onsite
2021,Mid-level,Full-time,Data Analyst,96200,US,100,US,Medium,Remote
2024,Senior,Full-time,Analytics Engineer,223100,US,0,US,Medium,Onsite
2024,Mid-level,Full-time,Data Analyst,86400,GB,0,GB,Medium,Onsite
2024,Senior,Full-time,Data Scientist,198800,US,0,US,Medium,Onsite
2022,Mid-level,Full-time,Research Scientist,214600,US,100,US,Medium,Remote
2023,Entry-level,Full-time,Data Engineer,60500,JP,100,JP,Small,Remote
2024,Entry-level,Full-time,Business Intelligence Analyst,49300,ES,0,ES,Large,Onsite
2024,Mid-level,Full-time,Data Analyst,128200,US,0,US,Large,Onsite
2024,Entry-level,Full-time,Data Engineer,107500,US,0,US,Large,Onsite
2023,Senior,Full-time,AI Engineer,231500,US,0,US,Medium,Onsite
2024,Mid-level,Freelance,Research Scientist,122000,GB,0,GB,Large,Onsite
2024,Mid-level,Full-time,Data Science Manager,173500,US,0,US,Small,Onsite
2022,Entry-level,Full-time,Data Science Manager,143900,US,100,US,Medium,Remote
2024,Mid-level,Full-time,Data Engineer,66000,US,0,IN,Medium,Onsite
2024,Entry-level,Full-time,Business Intelligence Analyst,66800,SG,0,SG,Large,Onsite
2023,Senior,Full-time,Data Analyst,113200,AU,0,AU,Small,Onsite
2022,Entry-level,Full-time,Data Scientist,92300,AU,0,AU,Large,Onsite
2024,Senior,Full-time,Data Scientist,75700,IN,50,IN,Medium,Hybrid
2024,Senior,Full-time,Data Scientist,300700,US,0,US,Large,Onsite
2022,Entry-level,Full-time,Data Analyst,59600,CA,0,CA,Large,Onsite
2020,Mid-level,Full-time,Data Engineer,115000,US,0,US,Small,Onsite
2024,Senior,Full-time,Data Scientist,198400,US,0,US,Medium,Onsite
2023,Executive,Full-time,Machine Learning Engineer,315200,US,50,US,Small,Hybrid
2024,Entry-level,Full-time,Data Analyst,80700,US,100,US,Small,Remote
2024,Mid-level,Full-time,Data Analyst,121200,CH,0,CH,Large,Onsite
2023,Mid-level,Full-time,Data Scientist,166400,US,100,US,Medium,Remote
2023,Senior,Full-time,Data Engineer,101800,US,100,PL,Small,Remote
2024,Senior,Full-time,Business Intelligence Analyst,118000,GB,0,GB,Medium,Onsite
2023,Mid-level,Contract,Data Scientist,139300,US,50,US,Small,Hybrid
2021,Mid-level,Full-time,Data Scientist,138900,US,100,US,Small,Remote
2024,Entry-level,Full-time,Business Intelligence Analyst,24600,IN,50,IN,Medium,Hybrid
2023,Senior,Full-time,AI Engineer,163100,DE,0,JP,Large,Onsite
2020,Senior,Full-time,Machine Learning Engineer,218300,US,0,US,Medium,Onsite
2021,Mid-level,Full-time,Machine Learning Engineer,160900,US,0,US,Medium,Onsite
2023,Senior,Full-time,Data Scientist,269900,US,0,US,Large,Onsite
2024,Mid-level,Full-time,Data Scientist,132100,US,0,US,Small,Onsite
2023,Senior,Full-time,Data Science Manager,246500,US,0,US,Medium,Onsite
2024,Senior,Full-time,Data Scientist,248900,US,0,US,Small,Onsite
2021,Entry-level,Full-time,Data Engineer,96000,US,0,US,Medium,Onsite
2021,Mid-level,Full-time,Data Science Manager,137100,GB,50,GB,Medium,Hybrid
2023,Senior,Full-time,Business Intelligence Analyst,77300,PT,100,PT,Medium,Remote
2024,Senior,Full-time,Business Intelligence Analyst,124100,US,0,GB,Large,Onsite
2023,Executive,Full-time,Data Scientist,378700,US,0,US,Medium,Onsite
2023,Mid-level,Full-time,Machine Learning Engineer,82300,ES,0,ES,Medium,Onsite
2024,Mid-level,Full-time,Data Scientist,174300,US,0,US,Medium,Onsite
2023,Mid-level,Full-time,Business Intelligence Analyst,123000,US,0,US,Medium,Onsite
2024,Mid-level,Full-time,Data Scientist,107500,FR,0,FR,Large,Onsite
2024,Entry-level,Full-time,Data Scientist,96900,US,100,US,Medium,Remote
2022,Mid-level,Full-time,Data Engineer,147100,US,100,US,Medium,Remote
2024,Entry-level,Full-time,Data Engineer,43900,IN,0,IN,Large,Onsite
2024,Executive,Full-time,Data Science Manager,240100,FR,0,FR,Large,Onsite
2024,Mid-level,Full-time,AI Engineer,171000,CA,0,CA,Small,Onsite
2022,Senior,Full-time,Data Scientist,176000,US,100,US,Small,Remote
2022,Mid-level,Contract,Data Analyst,99400,US,0,US,Medium,Onsite
2021,Senior,Full-time,Data Analyst,126100,CA,50,CA,Large,Hybrid
2020,Senior,Full-time,Data Scientist,225800,US,100,US,Large,Remote
2023,Senior,Full-time,Analytics Engineer,245300,US,50,US,Medium,Hybrid
2023,Senior,Full-time,Data Scientist,196400,IN,100,US,Large,Remote
2022,Executive,Full-time,Machine Learning Engineer,86500,DE,100,BR,Medium,Remote
2024,Entry-level,Full-time,Machine Learning Engineer,105400,NL,100,NL,Medium,Remote
2021,Senior,Full-time,Data Engineer,68300,IN,0,IN,Large,Onsite
2023,Entry-level,Full-time,Research Scientist,105700,US,0,US,Large,Onsite
2024,Mid-level,Full-time,Data Scientist,171500,GB,100,US,Large,Remote
2024,Mid-level,Full-time,Analytics Engineer,136300,US,50,US,Medium,Hybrid
2022,Mid-level,Full-time,Data Analyst,79600,DE,100,DE,Medium,Remote
2021,Mid-level,Full-time,Data Analyst,57200,DE,100,DE,Medium,Remote
2023,Executive,Full-time,Data Scientist,268700,US,100,US,Medium,Remote
2022,Mid-level,Full-time,Data Architect,172900,US,0,US,Medium,Onsite
2024,Executive,Full-time,Data Science Manager,414400,US,0,US,Medium,Onsite
2024,Entry-level,Full-time,Analytics Engineer,101400,US,50,US,Medium,Hybrid
2022,Senior,Full-time,Data Scientist,241300,US,0,US,Medium,Onsite
2021,Mid-level,Full-time,Data Analyst,95000,US,100,US,Medium,Remote
2024,Mid-level,Full-time,Data Scientist,187900,CA,50,CA,Large,Hybrid
2021,Mid-level,Full-time,Machine Learning Engineer,139400,CA,0,CA,Medium,Onsite
2024,Senior,Full-time,Data Engineer,178300,US,0,US,Medium,Onsite
2023,Entry-level,Full-time,Research Scientist,81700,DE,0,DE,Medium,Onsite
2022,Entry-level,Full-time,Data Engineer,76100,US,100,US,Small,Remote
2024,Entry-level,Full-time,Business Intelligence Analyst,59800,GB,100,GB,Small,Remote
2024,Senior,Full-time,Analytics Engineer,249600,US,100,US,Large,Remote
2020,Executive,Full-time,Data Engineer,262400,US,100,US,Medium,Remote
2023,Senior,Full-time,Data Analyst,170900,IN,0,US,Large,Onsite
2024,Mid-level,Full-time,Machine Learning Engineer,192800,US,100,US,Small,Remote
2022,Mid-level,Full-time,Data Analyst,135400,US,100,US,Large,Remote
2023,Mid-level,Full-time,Business Intelligence Analyst,109100,US,0,US,Medium,Onsite
2022,Mid-level,Full-time,AI Engineer,149500,US,0,US,Small,Onsite
2024,Senior,Full-time,Data Engineer,188100,US,0,US,Medium,Onsite
2023,Executive,Full-time,Data Scientist,309100,BR,100,US,Large,Remote
2022,Mid-level,Full-time,Data Analyst,101700,US,0,US,Medium,Onsite
2024,Entry-level,Full-time,Data Engineer,67800,DE,50,DE,Medium,Hybrid
2023,Entry-level,Full-time,Research Scientist,104900,US,0,US,Large,Onsite
2024,Senior,Full-time,Machine Learning Engineer,239700,CA,50,CA,Medium,Hybrid
2022,Senior,Full-time,Data Analyst,215900,US,100,US,Large,Remote
2023,Mid-level,Full-time,Data Analyst,92000,GB,0,GB,Medium,Onsite
2024,Mid-level,Full-time,Data Scientist,111900,FR,0,FR,Small,Onsite
2024,Senior,Full-time,Data Analyst,121300,US,0,US,Small,Onsite
2020,Mid-level,Full-time,Data Architect,150800,US,100,US,Medium,Remote
2021,Senior,Full-time,Data Scientist,193500,US,100,US,Medium,Remote
2024,Mid-level,Full-time,AI Engineer,180100,US,0,US,Medium,Onsite
2024,Executive,Full-time,Data Analyst,114100,PL,0,PL,Medium,Onsite
2022,Executive,Full-time,Machine Learning Engineer,121500,IN,100,IN,Medium,Remote
2022,Executive,Full-time,Data Analyst,116600,DE,100,DE,Small,Remote
2022,Entry-level,Full-time,Data Engineer,90000,US,100,US,Small,Remote
2021,Executive,Full-time,Data Scientist,206200,US,0,US,Small,Onsite
2022,Senior,Full-time,AI Engineer,168500,US,0,NL,Large,Onsite
2022,Entry-level,Full-time,Data Engineer,104200,US,100,US,Large,Remote
2023,Mid-level,Full-time,Machine Learning Engineer,148800,US,0,US,Large,Onsite
2024,Senior,Full-time,Machine Learning Engineer,184100,AU,0,AU,Medium,Onsite
2024,Senior,Full-time,Data Engineer,54400,BR,0,BR,Medium,Onsite
2024,Mid-level,Full-time,Analytics Engineer,134200,US,0,US,Small,Onsite
2020,Senior,Full-time,AI Engineer,63500,IN,100,IN,Medium,Remote
2024,Mid-level,Full-time,Data Engineer,155500,US,0,US,Medium,Onsite
2024,Senior,Full-time,Analytics Engineer,150500,DE,0,DE,Large,Onsite
2024,Senior,Full-time,Data Analyst,142700,GB,0,GB,Medium,Onsite
2024,Senior,Full-time,Data Engineer,216100,US,0,US,Medium,Onsite
2022,Executive,Full-time,Data Scientist,166200,GB,100,GB,Medium,Remote
2021,Mid-level,Full-time,Data Science Manager,130100,GB,0,GB,Medium,Onsite
2024,Mid-level,Full-time,Machine Learning Engineer,101500,ES,0,ES,Small,Onsite
2022,Mid-level,Full-time,AI Engineer,118300,GB,0,GB,Medium,Onsite
2023,Senior,Full-time,Data Analyst,83100,ES,0,ES,Medium,Onsite
2022,Mid-level,Full-time,Business Intelligence Analyst,157600,US,100,US,Large,Remote
2022,Executive,Full-time,Analytics Engineer,241000,CH,0,CH,Medium,Onsite
2024,Senior,Full-time,Data Scientist,209200,CA,50,CA,Medium,Hybrid
2020,Senior,Full-time,Data Engineer,143900,CH,0,CH,Small,Onsite
2024,Senior,Full-time,Data Engineer,206200,US,50,US,Small,Hybrid
2022,Mid-level,Full-time,Data Analyst,28600,US,0,IN,Medium,Onsite
2021,Mid-level,Full-time,Research Scientist,105300,JP,0,JP,Medium,Onsite
2020,Senior,Full-time,Machine Learning Engineer,180900,GB,0,US,Medium,Onsite
2023,Executive,Full-time,Analytics Engineer,281000,CA,100,CA,Medium,Remote
2024,Mid-level,Full-time,Data Engineer,61400,IN,100,IN,Medium,Remote
2024,Senior,Full-time,Data Engineer,273600,US,0,US,Medium,Onsite
2023,Senior,Full-time,Data Engineer,192800,GB,100,GB,Large,Remote
2021,Mid-level,Full-time,Business Intelligence Analyst,120700,US,100,US,Small,Remote
2024,Senior,Full-time,Data Architect,170100,GB,0,GB,Medium,Onsite
2023,Senior,Full-time,Data Engineer,181800,US,0,US,Medium,Onsite
2024,Senior,Full-time,Data Analyst,145100,GB,0,GB,Medium,Onsite
2024,Entry-level,Full-time,Machine Learning Engineer,124200,US,0,US,Medium,Onsite
2022,Senior,Full-time,Business Intelligence Analyst,148100,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Analyst,67000,PL,100,PL,Small,Remote
2023,Mid-level,Full-time,Data Scientist,145400,US,0,US,Small,Onsite
2020,Senior,Full-time,Data Scientist,165800,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,133900,GB,0,GB,Small,Onsite
2023,Entry-level,Full-time,Data Science Manager,135900,US,0,US,Large,Onsite
2024,Mid-level,Full-time,Data Analyst,144900,US,100,US,Medium,Remote
2024,Entry-level,Full-time,Data Analyst,90200,US,100,US,Small,Remote
2024,Senior,Full-time,Data Analyst,109700,FR,0,FR,Large,Onsite
2022,Executive,Full-time,Data Engineer,327800,US,100,US,Medium,Remote
2023,Mid-level,Full-time,Analytics Engineer,114900,US,50,US,Medium,Hybrid
2024,Senior,Full-time,Data Analyst,155300,US,100,US,Medium,Remote
2020,Senior,Full-time,Data Analyst,146600,US,0,US,Medium,Onsite
2020,Entry-level,Full-time,Data Engineer,91400,US,100,US,Medium,Remote
2022,Executive,Full-time,Business Intelligence Analyst,284100,US,100,US,Large,Remote
