work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,MI,FT,Data Scientist,133100.0,GB,100.0,GB,M
2023,MI,FL,Analytics Engineer,155100.0,US,100.0,US,M
2022,SE,FT,Data Analyst,128200.0,US,100.0,US,M
2024,MI,FT,Data Engineer,148100.0,US,100.0,US,M
2023,MI,FT,Data Science Manager,152800.0,NL,0.0,NL,M
2023,MI,FT,Data Engineer,56200.0,PT,0.0,IN,
2024,SE,FT,Data Scientist,234600.0,US,0.0,US,M
2024,MI,FT,Business Intelligence Analyst,105300.0,IN,50.0,US,S
2021,EN,FT,Data Scientist,138500.0,DE,100.0,US,M
2024,MI,FT,Machine Learning Engineer,244800.0,US,0.0,US,L
2022,SE,FT,Data Scientist,165700.0,US,50.0,US,M
2022,EN,FT,Data Scientist,68700.0,DE,0.0,DE,L
2023,SE,FT,Machine Learning Engineer,261100.0,US,0.0,US,M
2024,SE,FT,Data Scientist,257000.0,US,0.0,US,M
2021,EN,FT,Data Science Manager,149000.0,CH,0.0,CH,M
2023,SE,FT,AI Engineer,129800.0,IN,0.0,IN,L
2024,MI,FT,Analytics Engineer,54400.0,IN,50.0,IN,L
2021,EX,FT,Research Scientist,344300.0,US,50.0,US,L
2024,MI,FT,Data Analyst,101000.0,CA,0.0,CA,M
2020,EN,FT,Data Scientist,51500.0,FR,0.0,FR,M
2024,EN,FT,Data Scientist,115700.0,US,50.0,US,L
2024,MI,FT,Data Engineer,161700.0,US,50.0,US,M
2023,SE,FT,Data Scientist,203300.0,US,0.0,US,M
2024,SE,FT,Business Intelligence Analyst,149000.0,CA,100.0,CA,M
2023,EN,FT,Data Scientist,123400.0,US,0.0,US,L
2023,SE,FT,AI Engineer,153800.0,US,0.0,DE,S
2024,EN,FT,Data Engineer,144600.0,US,50.0,US,M
2023,EN,FT,Data Analyst,57000.0,US,0.0,US,S
2022,EN,FL,Machine Learning Engineer,110400.0,US,100.0,US,L
2023,SE,FT,Data Scientist,196900.0,CA,100.0,US,M
2022,EN,FT,Data Analyst,25900.0,IN,50.0,IN,
2024,EX,FT,Data Engineer  ,272300.0,NL,0.0,NL,L
2023,SE,FT,Business Intelligence Analyst,99800.0,PT,0.0,NL,L
2023,EN,FT,Data Scientist,135000.0,US,50.0,US,L
2023,SE,FT,Data Engineer,187500.0,CA,100.0,CA,L
2023,MI,FT,Data Architect,97200.0,FR,100.0,FR,M
2024,SE,FT,Business Intelligence Analyst,163200.0,US,50.0,US,
2024,SE,FT,Research Scientist,178600.0,US,0.0,US,M
2022,MI,FT,AI Engineer,166500.0,US,100.0,US,L
2023,EN,FT,Machine Learning Engineer,89900.0,NL,50.0,NL,L
2023,EX,FT,Data Scientist,195900.0,US,0.0,FR,L
2023,MI,FT,Data Scientist,128800.0,SG,50.0,SG,L
2020,MI,CT,Data Analyst,106700.0,US,100.0,US,L
2021,MI,FT,Data Engineer,88800.0,US,50.0,DE,M
2021,MI,FT,Data Engineer,127100.0,US,0.0,US,L
2022,EN,FT,Data Analyst,69600.0,US,100.0,US,L
2024,MI,FT,Data Engineer,125600.0,GB,100.0,GB,M
2023,SE,FT,Data Scientist,284100.0,US,100.0,US,M
2024,SE,FT,Machine Learning Engineer,250300.0,GB,0.0,GB,L
2022,EX,FT,Data Analyst,167900.0,US,,US,M
2023,EN,FT,Data Engineer,88500.0,CA,100.0,CA,M
2022,SE,FT,Data Scientist,204700.0,US,0.0,US,S
2022,EN,FT,Research Scientist,97200.0,US,0.0,CA,M
2024,SE,FT,Data Engineer,237400.0,US,0.0,US,M
2024,MI,FT,Data Engineer,228500.0,US,100.0,US,L
2022,SE,FT,Data Architect,197600.0,US,50.0,US,M
2024,MI,FT,Business Intelligence Analyst,125700.0,CA,0.0,CA,M
2022,SE,FT,Analytics Engineer  ,136700.0,US,50.0,GB,M
2021,MI,FT,Data Analyst,90300.0,US,50.0,US,S
2020,SE,FT,Data Analyst,70500.0,ES,0.0,ES,M
2024,MI,FT,Business Intelligence Analyst,107800.0,NL,50.0,US,S
2021,SE,FT,Data Analyst,132400.0,US,0.0,US,L
2020,SE,FT,Data Architect,111000.0,ES,0.0,ES,M
2022,MI,FT,Data Scientist,148100.0,CH,50.0,CH,M
2022,EN,FT,Research Scientist,124000.0,US,50.0,US,L
2024,EX,FT,Data Analyst,249100.0,US,100.0,US,M
2023,MI,FT,Data Scientist,108400.0,FR,0.0,FR,M
2024,MI,FT,Machine Learning Engineer,120600.0,AU,0.0,AU,S
2022,SE,FT,Business Intelligence Analyst,67900.0,PL,0.0,PL,M
2021,EN,CT,Data Scientist,54300.0,ES,,ES,M
2023,SE,CT,Data Scientist,115000.0,PL,0.0,PL,M
2023,EN,FT,Data Analyst,55300.0,GB,100.0,GB,M
2023,MI,FT,Data Engineer,116100.0,US,50.0,US,M
2024,MI,FL,Machine Learning Engineer,194000.0,US,100.0,US,M
2023,EN,FT,Business Intelligence Analyst,29800.0,ES,100.0,ES,S
2022,SE,FT,Data Engineer,195400.0,US,100.0,US,M
2020,SE,FT,Business Intelligence Analyst,159900.0,US,100.0,US,M
2022,MI,FT,Data Engineer,168300.0,US,100.0,US,L
2024,MI,FT,Data Engineer,43400.0,IN,50.0,IN,L
2024,MI,FT,Machine Learning Engineer,171900.0,AU,0.0,AU,M
2023,SE,FL,Analytics Engineer,173200.0,US,0.0,US,M
2022,EN,FT,Machine Learning Engineer,125800.0,US,100.0,US,M
2022,MI,FT,Data Analyst,123800.0,GB,100.0,US,M
2023,EN,FT,Data Architect,131500.0,US,0.0,US,L
2023,MI,FT,Data Analyst,121600.0,US,0.0,US,M
2022,SE,FT,Data Analyst,157800.0,US,100.0,US,M
2020,MI,FT,Data Engineer,119700.0,US,0.0,US,M
2023,SE,FT,Business Intelligence Analyst,146100.0,GB,50.0,GB,L
2023,MI,FT,Research Scientist,127900.0,FR,0.0,FR,L
2023,EX,FT,Data Architect,115300.0,IN,100.0,IN,S
2023,MI,FT,Data Analyst,110100.0,US,0.0,US,M
2022,MI,FT,Data Scientist,131000.0,US,,US,S
2024,SE,FT,Data Analyst,122800.0,DE,0.0,DE,M
2024,EX,FT,Data Scientist,302600.0,US,50.0,US,M
2023,SE,FT,Data Science Manager,140100.0,JP,100.0,JP,M
2021,MI,FT,Data Engineer,154200.0,US,100.0,US,M
2024,EN,FT,Analytics Engineer,84400.0,US,100.0,US,M
2021,MI,FT,Data Scientist,159000.0,US,100.0,US,M
2023,MI,FT,Data Scientist,154000.0,US,0.0,US,M
2022,EN,FT,Data Scientist,102200.0,US,50.0,US,M
2023,SE,FT,Data Engineer,194000.0,AU,0.0,AU,M
2021,MI,FT,Data Architect,161400.0,US,100.0,US,M
2023,SE,FT,Data Analyst,95900.0,SG,0.0,SG,S
2024,MI,FT,AI Engineer,246400.0,US,100.0,US,M
2021,SE,FT,Data Engineer,228100.0,US,100.0,US,L
2023,EX,FT,AI Engineer,280400.0,NL,50.0,NL,M
2021,SE,FT,Data Analyst,170300.0,US,100.0,US,L
2022,SE,FT,Analytics Engineer,161000.0,US,100.0,US,S
2020,SE,FT,Business Intelligence Analyst,110200.0,DE,0.0,US,M
2023,MI,FT,Data Engineer,119900.0,US,100.0,CA,M
2024,MI,FT,Data Architect,106100.0,FR,0.0,FR,M
2023,MI,FT,Data Engineer,132000.0,US,0.0,US,L
2024,EN,FT,Data Scientist,103400.0,US,50.0,US,M
2022,MI,FT,Data Engineer,142400.0,CA,100.0,CA,M
2022,SE,FT,Data Engineer,182000.0,US,100.0,US,S
2023,MI,FT,Data Scientist,66200.0,IN,50.0,IN,M
2022,MI,FT,Research Scientist,167800.0,US,50.0,US,S
2021,EN,FT,Machine Learning Engineer,110900.0,US,100.0,US,L
2021,SE,FT,Data Engineer,212700.0,US,100.0,US,L
2024,SE,FT,Data Analyst,124400.0,US,50.0,US,L
2022,SE,FT,Data Analyst,156800.0,US,100.0,US,L
2021,SE,FT,Data Analyst,73200.0,DE,0.0,DE,M
2020,EN,FT,Data Analyst,65300.0,US,100.0,US,M
2020,SE,FT,Machine Learning Engineer,215700.0,US,0.0,US,M
2023,SE,FL,Machine Learning Engineer,273500.0,US,0.0,US,L
2023,SE,FT,Machine Learning Engineer,112900.0,US,0.0,DE,M
2023,MI,FT,Machine Learning Engineer,129800.0,CA,0.0,CA,S
2020,EN,FT,Data Analyst,20900.0,IN,0.0,IN,L
2020,EN,FT,Data Scientist,122200.0,CA,100.0,CA,M
2022,SE,FT,Data Science Manager,238900.0,AU,50.0,AU,M
2022,EX,FT,Machine Learning Engineer,167200.0,JP,100.0,JP,M
2024,SE,FT,Data Science Manager,285500.0,US,50.0,US,L
2023,SE,FT,Data Analyst,161400.0,CH,0.0,CH,M
2024,EX,FT,Data Scientist,259800.0,SG,50.0,SG,
2023,MI,FT,Data Scientist,189600.0,US,100.0,US,S
2024,MI,FT,Machine Learning Engineer,184400.0,US,0.0,US,M
2024,EN,FT,Data Engineer,92900.0,US,0.0,US,M
2023,MI,FT,Data Analyst,134200.0,US,100.0,US,
2022,SE,FT,Data Analyst,168100.0,US,100.0,US,L
2021,MI,FT,Research Scientist,104600.0,ES,0.0,ES,M
2024,SE,FT,Data Analyst,133100.0,US,100.0,US,S
2022,EX,FT,AI Engineer,249300.0,GB,0.0,GB,L
2023,MI,FT,Analytics Engineer,161600.0,US,100.0,US,M
2024,MI,FT,Business Intelligence Analyst,86600.0,BR,0.0,SG,L
2023,EN,FT,Data Engineer,96100.0,US,0.0,US,M
2024,EN,FT,Analytics Engineer,82600.0,DE,100.0,DE,M
2023,MI,FT,Data Scientist,169000.0,US,0.0,US,M
2023,MI,FT,Data Analyst,115800.0,IN,100.0,US,M
2022,EN,FT,AI Engineer,93300.0,PL,100.0,US,M
2024,SE,FT,Research Scientist,277700.0,US,0.0,US,M
2021,MI,FT,Data Analyst,110500.0,US,100.0,US,M
2023,EX,FT,Machine Learning Engineer,119900.0,IN,0.0,IN,M
2021,EX,FT,Data Scientist,275000.0,US,0.0,AU,L
2024,MI,FT,Data Architect,173800.0,US,50.0,US,M
2024,MI,FT,Business Intelligence Analyst,109700.0,US,50.0,US,M
2022,SE,FT,Data Scientist,117100.0,PT,100.0,PT,L
2023,MI,FT,Data Scientist,71100.0,PL,0.0,PL,L
2020,SE,FT,Research Scientist,214600.0,US,100.0,US,M
2022,MI,FT,Business Intelligence Analyst,136800.0,US,100.0,US,L
2023,EN,FT,Data Scientist,78800.0,US,100.0,US,S
2021,SE,FT,Data Architect,168900.0,BR,0.0,US,M
2020,MI,FT,Analytics Engineer,158800.0,US,0.0,US,L
2024,MI,FT,Data Engineer,187900.0,US,0.0,US,L
2020,SE,FT,Data Analyst,143800.0,US,100.0,US,L
2024,SE,FT,AI Engineer,228200.0,US,100.0,US,L
2024,MI,FT,Analytics Engineer,142800.0,GB,0.0,US,M
2023,SE,FT,Data Engineer,227500.0,US,0.0,US,M
2023,SE,FT,Machine Learning Engineer,279600.0,DE,0.0,US,L
2024,MI,FT,Data Analyst,125800.0,US,0.0,US,L
2020,EX,FT,Machine Learning Engineer,317400.0,US,0.0,US,M
2022,EX,FT,Data Scientist,311400.0,DE,0.0,US,L
2021,MI,FT,Data Analyst,96200.0,US,100.0,US,M
2024,SE,FT,Analytics Engineer,223100.0,US,0.0,US,M
2024,MI,FT,Data Analyst,86400.0,GB,0.0,GB,M
2024,SE,FT,Data Scientist,198800.0,US,0.0,US,M
2022,MI,FT,Research Scientist,214600.0,US,100.0,US,M
2023,EN,FT,Data Engineer,60500.0,JP,100.0,JP,S
2024,EN,FT,Business Intelligence Analyst,49300.0,ES,0.0,ES,L
2024,MI,FT,Data Analyst,128200.0,US,0.0,US,L
2024,EN,FT,Data Engineer,107500.0,US,0.0,US,L
2023,SE,FT,AI Engineer,231500.0,US,0.0,US,M
2024,MI,FL,Research Scientist,122000.0,GB,0.0,GB,L
2024,MI,FT,Data Science Manager,173500.0,US,0.0,US,S
2022,EN,FT,Data Science Manager,143900.0,US,100.0,US,M
2024,MI,FT,Data Engineer,66000.0,US,0.0,IN,M
2024,EN,FT,Business Intelligence Analyst,66800.0,SG,0.0,SG,L
2023,SE,FT,Data Analyst,113200.0,AU,0.0,AU,S
2022,EN,FT,Data Scientist,92300.0,AU,0.0,AU,L
2024,SE,FT,Data Scientist  ,75700.0,IN,50.0,IN,M
2024,SE,FT,Data Scientist,300700.0,US,0.0,US,L
2023,MI,FT,Data Scientist,,PT,0.0,PT,M
2022,EN,FT,Data Analyst,59600.0,CA,0.0,CA,L
2024,SE,FT,AI Engineer,,US,50.0,US,M
2020,SE,FT,Data Engineer,177800.0,US,,US,M
2020,MI,FT,Data Engineer,115000.0,US,0.0,US,S
2024,SE,FT,Data Scientist,198400.0,US,0.0,US,M
2023,EX,FT,Machine Learning Engineer,315200.0,US,50.0,US,S
2024,EN,FT,Data Analyst  ,80700.0,US,100.0,US,S
2024,MI,FT,Data Analyst,121200.0,CH,0.0,CH,L
2023,MI,FT,Data Scientist,166400.0,US,100.0,US,M
2023,SE,FT,Data Engineer,101800.0,US,100.0,PL,S
2024,SE,FT,Business Intelligence Analyst,118000.0,GB,0.0,GB,M
2023,MI,CT,Data Scientist,139300.0,US,50.0,US,S
2021,MI,FT,Data Scientist,138900.0,US,100.0,US,S
2024,EN,FT,Business Intelligence Analyst,24600.0,IN,50.0,IN,M
2023,SE,FT,AI Engineer,163100.0,DE,0.0,JP,L
2020,SE,FT,Machine Learning Engineer,218300.0,US,0.0,US,M
2021,MI,FT,Machine Learning Engineer,160900.0,US,0.0,US,M
2023,SE,FT,Data Scientist,269900.0,US,0.0,US,L
2024,MI,FT,Data Scientist,132100.0,US,0.0,US,S
2023,SE,FT,Data Science Manager,246500.0,US,0.0,US,M
2024,SE,FT,Data Scientist,248900.0,US,0.0,US,S
2021,EN,FT,Data Engineer,96000.0,US,0.0,US,M
2021,MI,FT,Data Science Manager,137100.0,GB,50.0,GB,M
2023,SE,FT,Business Intelligence Analyst,77300.0,PT,100.0,PT,M
2024,EX,FT,Data Analyst,201600.0,US,0.0,US,
2024,SE,FT,Business Intelligence Analyst,124100.0,US,0.0,GB,L
2023,EX,FT,Data Scientist,378700.0,US,0.0,US,M
2023,MI,FT,Machine Learning Engineer,82300.0,ES,0.0,ES,M
2024,MI,FT,Data Scientist,174300.0,US,0.0,US,M
2023,MI,FT,Business Intelligence Analyst,123000.0,US,0.0,US,M
2024,MI,FT,Data Scientist,107500.0,FR,0.0,FR,L
2024,EN,FT,Data Scientist,96900.0,US,100.0,US,M
2022,MI,FT,Data Engineer,147100.0,US,100.0,US,M
2024,EN,FT,Data Engineer,43900.0,IN,0.0,IN,L
2024,EX,FT,Data Science Manager,240100.0,FR,0.0,FR,L
2024,MI,FT,AI Engineer,171000.0,CA,0.0,CA,S
2022,SE,FT,Data Scientist,176000.0,US,100.0,US,S
2022,MI,CT,Data Analyst,99400.0,US,0.0,US,M
2021,SE,FT,Data Analyst,126100.0,CA,50.0,CA,L
2020,SE,FT,Data Scientist,225800.0,US,100.0,US,L
2024,MI,FT,Data Analyst,76900.0,US,100.0,SG,
2023,MI,FT,Data Scientist,194600.0,ES,,US,L
2023,SE,FT,Analytics Engineer,245300.0,US,50.0,US,M
2023,SE,FT,Data Scientist,196400.0,IN,100.0,US,L
2022,EX,FT,Machine Learning Engineer,86500.0,DE,100.0,BR,M
2024,EN,FT,Machine Learning Engineer,105400.0,NL,100.0,NL,M
2021,SE,FT,Data Engineer,68300.0,IN,0.0,IN,L
2023,EN,FT,Research Scientist,105700.0,US,0.0,US,L
2024,MI,FT,Data Scientist,171500.0,GB,100.0,US,L
2024,MI,FT,Analytics Engineer,136300.0,US,50.0,US,M
2022,MI,FT,Data Analyst,79600.0,DE,100.0,DE,M
2021,MI,FT,Data Analyst,57200.0,DE,100.0,DE,M
2023,EX,FT,data scientist,268700.0,US,100.0,US,M
2022,MI,FT,Data Architect,172900.0,US,0.0,US,M
2024,EX,FT,Data Science Manager,414400.0,US,0.0,US,M
2024,EN,FT,Analytics Engineer,101400.0,US,50.0,US,M
2022,SE,FT,Data Scientist,241300.0,US,0.0,US,M
2021,MI,FT,Data Analyst,95000.0,US,100.0,US,M
2024,MI,FT,Data Scientist,187900.0,CA,50.0,CA,L
2021,MI,FT,Machine Learning Engineer,139400.0,CA,0.0,CA,M
2024,SE,FT,Data Engineer,178300.0,US,0.0,US,M
2023,EN,FT,Research Scientist,81700.0,DE,0.0,DE,M
2022,EN,FT,Data Engineer,76100.0,US,100.0,US,S
2024,EN,FT,Business Intelligence Analyst,59800.0,GB,100.0,GB,S
2024,SE,FT,Analytics Engineer,249600.0,US,100.0,US,L
2020,EX,FT,Data Engineer,262400.0,US,100.0,US,M
2023,SE,FT,Data Analyst,170900.0,IN,0.0,US,L
2024,MI,FT,Machine Learning Engineer,192800.0,US,100.0,US,S
2022,MI,FT,Data Analyst,135400.0,US,100.0,US,L
2023,MI,FT,Business Intelligence Analyst,109100.0,US,0.0,US,M
2022,MI,FT,AI Engineer,149500.0,US,0.0,US,S
2024,SE,FT,Data Engineer,188100.0,US,0.0,US,M
2023,EX,FT,Data Scientist,309100.0,BR,100.0,US,L
2022,MI,FT,Data Analyst,101700.0,US,0.0,US,M
2024,EN,FT,Data Engineer,67800.0,DE,50.0,DE,M
2023,EN,FT,Research Scientist,104900.0,US,0.0,US,L
2024,SE,FT,Machine Learning Engineer,239700.0,CA,50.0,CA,M
2022,SE,FT,Data Analyst,215900.0,US,100.0,US,L
2023,MI,FT,Data Analyst,92000.0,GB,0.0,GB,M
2024,MI,FT,Data Scientist,111900.0,FR,0.0,FR,S
2024,SE,FT,Data Analyst,121300.0,US,0.0,US,S
2020,MI,FT,Data Architect,150800.0,US,100.0,US,M
2021,SE,FT,Data Scientist,193500.0,US,100.0,US,M
2024,MI,FT,AI Engineer,180100.0,US,0.0,US,M
2024,EX,FT,Data Analyst,114100.0,PL,0.0,PL,M
2022,EX,FT,Machine Learning Engineer,121500.0,IN,100.0,IN,M
2022,EX,FT,Data Analyst,116600.0,DE,100.0,DE,S
2022,EN,FT,Data Engineer,90000.0,US,100.0,US,S
2021,EX,FT,Data Scientist,206200.0,US,0.0,US,S
2022,SE,FT,AI Engineer,168500.0,US,0.0,NL,L
2022,EN,FT,Data Engineer,104200.0,US,100.0,US,L
2023,MI,FT,Machine Learning Engineer,148800.0,US,0.0,US,L
2024,SE,FT,Machine Learning Engineer,184100.0,AU,0.0,AU,M
2024,SE,FT,Data Engineer,54400.0,BR,0.0,BR,M
2024,MI,FT,Analytics Engineer,134200.0,US,0.0,US,S
2020,SE,FT,AI Engineer,63500.0,IN,100.0,IN,M
2024,MI,FT,Data Engineer,155500.0,US,0.0,US,M
2024,SE,FT,Analytics Engineer,150500.0,DE,0.0,DE,L
2024,SE,FT,Data Analyst,142700.0,GB,0.0,GB,M
2024,SE,FT,Data Engineer,216100.0,US,0.0,US,M
2022,EX,FT,Data Scientist,166200.0,GB,100.0,GB,M
2021,MI,FT,Data Science Manager,130100.0,GB,0.0,GB,M
2024,MI,FT,Machine Learning Engineer,101500.0,ES,0.0,ES,S
2022,MI,FT,AI Engineer,118300.0,GB,0.0,GB,M
2023,SE,FT,Data Analyst,83100.0,ES,0.0,ES,M
2022,MI,FT,Business Intelligence Analyst,157600.0,US,100.0,US,L
2022,EX,FT,Analytics Engineer,241000.0,CH,0.0,CH,M
2024,SE,FT,Data Scientist,209200.0,CA,50.0,CA,M
2020,SE,FT,Data Engineer,143900.0,CH,0.0,CH,S
2024,SE,FT,Data Engineer,206200.0,US,50.0,US,S
2022,MI,FT,Data Analyst,28600.0,US,0.0,IN,M
2021,MI,FT,Research Scientist,105300.0,JP,0.0,JP,M
2020,SE,FT,Machine Learning Engineer,180900.0,GB,0.0,US,M
2023,EX,FT,Analytics Engineer,281000.0,CA,100.0,CA,M
2024,MI,FT,Data Engineer,61400.0,IN,100.0,IN,M
2024,SE,FT,Data Engineer,273600.0,US,0.0,US,M
2023,SE,FT,Data Engineer,192800.0,GB,100.0,GB,L
2021,MI,FT,Business Intelligence Analyst,120700.0,US,100.0,US,S
2024,SE,FT,Data Architect,170100.0,GB,0.0,GB,M
2023,SE,FT,Data Engineer,181800.0,US,0.0,US,M
2024,SE,FT,Data Analyst,145100.0,GB,0.0,GB,M
2024,EN,FT,Machine Learning Engineer,124200.0,US,0.0,US,M
2022,SE,FT,Business Intelligence Analyst,148100.0,US,0.0,US,M
2022,SE,FT,Data Analyst,67000.0,PL,100.0,PL,S
2023,MI,FT,Data Scientist,145400.0,US,0.0,US,S
2020,SE,FT,Data Scientist,165800.0,US,100.0,US,M
2022,SE,FT,Data Engineer,133900.0,GB,0.0,GB,S
2023,EN,FT,Data Science Manager,135900.0,US,0.0,US,L
2024,MI,FT,Data Analyst,144900.0,US,100.0,US,M
2024,EN,FT,Data Analyst,90200.0,US,100.0,US,S
2024,SE,FT,Data Analyst,109700.0,FR,0.0,FR,L
2022,EX,FT,Data Engineer,327800.0,US,100.0,US,M
2023,MI,FT,Analytics Engineer,114900.0,US,50.0,US,M
2024,SE,FT,Data Analyst,155300.0,US,100.0,US,M
2020,SE,FT,Data Analyst,146600.0,US,0.0,US,M
2020,EN,FT,Data Engineer,91400.0,US,100.0,US,M
2022,EX,FT,Business Intelligence Analyst,284100.0,US,100.0,US,L
2024,MI,FT,Research Scientist,188500.0,US,0.0,US,M
2023,SE,FT,Analytics Engineer,209300.0,US,0.0,US,S
2024,SE,FT,Data Engineer,177100.0,GB,0.0,GB,M
2020,MI,FT,Data Architect,175800.0,US,100.0,US,M
2024,MI,FT,Business Intelligence Analyst,108400.0,US,0.0,US,M
2023,EN,FT,Machine Learning Engineer,114000.0,GB,50.0,GB,L
2024,SE,FT,Data Analyst,177100.0,US,0.0,US,L
2023,EN,FT,Machine Learning Engineer,75300.0,SG,0.0,SG,L
2024,MI,FT,Data Analyst  ,118600.0,US,0.0,US,M
2024,MI,FT,Data Scientist,114600.0,GB,50.0,GB,L
2024,SE,FT,Business Intelligence Analyst,85400.0,PT,0.0,PT,M
2021,SE,FT,Research Scientist,200600.0,US,0.0,US,M
2022,EN,FT,Machine Learning Engineer,111900.0,US,100.0,US,L
2023,SE,FT,Data Scientist,257800.0,US,0.0,US,M
2024,SE,FT,Research Scientist,254600.0,US,0.0,US,M
2024,SE,FT,Data Scientist,175700.0,US,0.0,US,S
2024,SE,FT,Research Scientist,172700.0,DE,100.0,DE,
2023,MI,FT,Data Scientist,52400.0,PL,0.0,PL,M
2022,SE,FT,Machine Learning Engineer,185900.0,US,0.0,US,M
2020,MI,FT,Data Engineer,131900.0,AU,50.0,US,M
2023,SE,FL,Analytics Engineer,183500.0,US,100.0,US,M
2021,EN,FT,Business Intelligence Analyst,68600.0,AU,100.0,AU,M
2024,SE,FT,Analytics Engineer,104700.0,PL,0.0,PL,L
2023,MI,FT,AI Engineer,81000.0,IN,0.0,IN,S
2023,SE,FT,Data Scientist,176200.0,US,100.0,US,M
2022,SE,FT,Research Scientist,245100.0,US,0.0,US,L
2024,SE,FT,Research Scientist,233900.0,NL,50.0,NL,L
2023,SE,FT,Data Science Manager,193300.0,JP,0.0,JP,L
2023,MI,FT,Machine Learning Engineer,105300.0,ES,100.0,ES,M
2022,EN,FT,Data Analyst,62000.0,DE,50.0,DE,M
2023,SE,FT,Analytics Engineer,204400.0,US,100.0,US,L
2021,MI,FT,Data Scientist,128900.0,CA,100.0,US,M
2022,SE,FT,Data Engineer,132000.0,NL,100.0,NL,M
2023,EN,FT,Analytics Engineer,64500.0,ES,100.0,ES,L
2021,EX,FT,Data Engineer,216600.0,US,100.0,US,S
2022,SE,FT,Machine Learning Engineer,255700.0,US,100.0,US,L
2024,SE,FT,Machine Learning Engineer,248300.0,FR,0.0,FR,L
2021,EN,FT,Data Engineer,41800.0,US,100.0,ES,M
2023,EN,FT,Data Architect,110200.0,US,0.0,US,L
2024,SE,FT,Data Analyst,137100.0,GB,50.0,GB,L
2022,SE,FT,Data Architect,230300.0,DE,0.0,DE,M
2022,SE,FT,Data Analyst,159200.0,US,100.0,US,L
2022,SE,FT,Research Scientist,195600.0,US,50.0,US,S
2024,EX,FT,Data Scientist,218200.0,GB,0.0,GB,M
2022,MI,FT,Data Scientist,141800.0,US,100.0,US,S
2023,EX,FT,Research Scientist,94400.0,BR,100.0,BR,S
2024,EN,FT,Research Scientist,142300.0,US,0.0,US,M
2022,SE,FT,Research Scientist,258000.0,US,100.0,US,M
2022,SE,FT,Analytics Engineer,74800.0,PT,100.0,PT,L
2023,MI,CT,Data Analyst,161300.0,US,50.0,US,L
2023,SE,FT,Research Scientist,171800.0,JP,100.0,JP,L
2024,SE,FT,AI Engineer,179600.0,US,100.0,ES,L
2021,MI,FT,Analytics Engineer,160700.0,US,100.0,US,M
2022,MI,FT,Machine Learning Engineer,205300.0,US,0.0,US,L
2021,MI,FT,AI Engineer,,IN,100.0,IN,L
